S.NO,Reg_No,Address,"No. of
Children","Status of the
Institution",Name of the Orphanage,City,Country,State,Column1,Column3,Column4,Column2,Column22,Column23,Column24,Column25,Column26
312,463/DSW/2011,"Good News Ministries India – Good News Children’s Home, S.No.57/1, Church Street, Mudaiyur Village, Thathalor post, Thirukkalukundram Taluk, Kancheepuram District – 603109.",41,"3 years
registration",Good News Ministries India – Good News Children’s Home,Kanchipuram,India,Tamil Nadu,,,,, Thathalor post, Thirukkalukundram Taluk, Kancheepuram District – 603109.,,
313,464/DSW/2011,"The Society of Mary Immaculate – St. Joseph’s home for Children, Koothavakkam Village & post, Via- Mamallapuram, Kancheepuram District–603 104.",113,"3 years
registration",The Society of Mary Immaculate – St. Joseph’s home for Children,Kanchipuram,India,Tamil Nadu,,,,,,,,,
314,465/DSW/2011,"Maranatha Full Gospel Charitable Association – Maranatha Intermission Children Home, 2/85 M.G.R. Street, Srinivasapuram, Paraniputhur post, Chennai – 602101, Kanchipuram District.",70,"3 years
registration",Maranatha Full Gospel Charitable Association – Maranatha Intermission Children Home,Kanchipuram,India,Tamil Nadu,,,,, Chennai – 602101, Kanchipuram District.,,,
315,466/DSW/2011,"Naatrangal Charitable Trust, No.1, Nemanthakara Othavadai Street, Big Kanchipuram – 631 502, Kanchipuram District.",23,"3 years
registration",Naatrangal Charitable Trust,Kanchipuram,India,Tamil Nadu,,,,, Kanchipuram District.,,,,
316,467/DSW/2011,"Sathiya Jothi Karunai Illam, 369, Arakkonam Road, Kanchipuram – 631 502",20,"3 years
registration",Sathiya Jothi Karunai Illam,Kanchipuram,India,Tamil Nadu,,,,,,,,,
317,483/DSW/2011,"Christ King Home For Children M.E.S. Road, East Tambaram, Chennai – 59, Kancheepuram District",25,"3 years
registration",Christ King Home For Children M.E.S. Road,Kanchipuram,India,Tamil Nadu,,,,,,,,,
318,484/DSW/2011,"The National Institute of Eternal Hope– Love Care Center, 187, Arapakkam Village, Kancheepuram District – 631 609",108,"3 years
registration",The National Institute of Eternal Hope– Love Care Center,Kanchipuram,India,Tamil Nadu,,,,,,,,,
319,485/DSW/2011,"Uthavum Ullam, 12, Haritha Enclave, C.T.O. Colony, 3^{rd} Street, Lakshmipuram, West Tambaram, Chennai – 45 Kancheepuram District",80,"3 years
registration",Uthavum Ullam,Kanchipuram,India,Tamil Nadu,,,,, 3^{rd} Street, Lakshmipuram, West Tambaram, Chennai – 45 Kancheepuram District,
320,486/DSW/2011,"Irudaya Niketan Children’s Home, Nenmali Vilage, Orathur, Chengalpattu, Kanchipuram District",8,"3 years
registration",Irudaya Niketan Children’s Home,Kanchipuram,India,Tamil Nadu,,,,, Kanchipuram District,,,,
321,487/DSW/2011,"Udhavum Ullangal Plot No.1352, House No.89, Maraimalai Nagar, Singaperumal koil – 603 204 Kancheepuram Distirct",50,"3 years
registration",Udhavum Ullangal Plot No.1352,Kanchipuram,India,Tamil Nadu,,,,,,,,,
322,590/DSW/2011,"Nambikkai Illam Trust, Vengadu Village, Pillaipakkam Post, Sriperumbudur, Kancheepuram District – 602105",68,"3 years
registration",Nambikkai Illam Trust,Kanchipuram,India,Tamil Nadu,,,,, Kancheepuram District – 602105,,,,
323,384/DSW/2011,"Udhavum Ullangal, No.9, West Karikalan 2^{nd} Street, Adambakkam, Chennai-600 088, Kancheepuram District",45,"3 years
registration",Udhavum Ullangal,Kanchipuram,India,Tamil Nadu,,,,, Chennai-600 088, Kancheepuram District,,,
324,387/DSW/2011,"Christ Faith Home for Children – Emmanuel Nursery & Primary School, 3/91, Mettu Colony, Manapakkam, Chennai – 600116, Kancheepuram District",61,"3 years
registration",Christ Faith Home for Children – Emmanuel Nursery & Primary School,Kanchipuram,India,Tamil Nadu,,,,, Chennai – 600116, Kancheepuram District,,,
325,419/DSW/2011,"ICSA Alpha India Foundation, 1/122, Mettu Street, Salamangalam, Padappai – 601 301, Kancheepuram District-601301.",22,"3 years
registration",ICSA Alpha India Foundation,Kanchipuram,India,Tamil Nadu,,,,, Padappai – 601 301, Kancheepuram District-601301.,,,
326,420/DSW/2011,"Saint Boniface Anbaham, Vadamelpakkam, Kavanoor, Kattankulathoor post, Kancheepuram District – 603203.",163,"3 years
registration",Saint Boniface Anbaham,Kanchipuram,India,Tamil Nadu,,,,, Kancheepuram District – 603203.,,,,
327,421/DSW/2011,"Krupa Children’s Home, Post Box No.2, Canaan, Farm Road, David Nagar, Padappai, Sriperumbadur Taluk, Kanchipuram District – 601301.",55,"3 years
registration",Krupa Children’s Home,Kanchipuram,India,Tamil Nadu,,,,, David Nagar, Padappai, Sriperumbadur Taluk, Kanchipuram District – 601301.,
328,422/DSW/2011,"Agape Life Line Children’s Home, 3/241,Gnanammal Road, David Nagar, Padappai – 601 301, Kanchipuram District.",20,"3 years
registration",Agape Life Line Children’s Home,Kanchipuram,India,Tamil Nadu,,,,, Padappai – 601 301, Kanchipuram District.,,,
329,423/DSW2011,"Annai Fathima Child Welfare Centre, 48, Rajiv Gandhi Road, Karapakkam, Chennai – 96, Kancheepuram District.",133,"3 years
registration",Annai Fathima Child Welfare Centre,Kanchipuram,India,Tamil Nadu,,,,, Chennai – 96, Kancheepuram District.,,,
330,460/DSW/2011,"St. Joseph’s Convent Home for Children, Loop Road, Acharapakkam Post – 603 301, Kancheepuram District",50,"3 years
registration",St. Joseph’s Convent Home for Children,Kanchipuram,India,Tamil Nadu,,,,,,,,,
331,461/DSW/2011,"Franciscan Sisters of St. Joseph’s – St.Antony’s Home for Children, Ottanthangal Sinnivakkam Post, Thenneri (via), Kancheepuram District – 631 604.",117,"3 years
registration",Franciscan Sisters of St. Joseph’s – St.Antony’s Home for Children,Kanchipuram,India,Tamil Nadu,,,,,,,,,
332,462/DSW/2011,"Youth with a Mission – Rescue & Restore Social Service Children’s Home, No.10 Lal Bahadur Sastri Street, Ganapathy Nagar, Vandalur, Chennai – 600048, Kancheepuram District.",31,"3 years
registration",Youth with a Mission – Rescue & Restore Social Service Children’s Home,Kanchipuram,India,Tamil Nadu,,,,, Chennai – 600048, Kancheepuram District.,,,
333,290/DSW/2010,"Ingrid Rehabilitation Centre, Koothavakkam Village (via), Mamallapuram – 603 104, Kancheepuram District",24,"3 years
registration",Ingrid Rehabilitation Centre,Kanchipuram,India,Tamil Nadu,,,,,,,,,
334,322/DSW/2010,"Peniel Mission Trust, No.47, Madampakkam Main Road, New Anna Nagar, Selaiyur, Chennai-600073 Kancheepuram District",25,"3 years
registration",Peniel Mission Trust,Kanchipuram,India,Tamil Nadu,,,,, Selaiyur, Chennai-600073 Kancheepuram District,,,
335,323/DSW/2010,"Hand in Hand -Dhandapani School Hostel, No.42, Lingappan Street, Big Kanchipuram, Kanchipuram District.",90,"3 years
registration",Hand in Hand -Dhandapani School Hostel,Kanchipuram,India,Tamil Nadu,,,,, Kanchipuram District.,,,,
336,324/DSW/2010,"Prema Vasam, Thiru.VI.KA. Road, Gerugambakkam, Mangadu (Via), Chennai-600 122, Kanchipuram District.",151,"3 years
registration",Prema Vasam,Kanchipuram,India,Tamil Nadu,,,,, Chennai-600 122, Kanchipuram District.,,,
337,358/DSW/2011,"Atheeswarar Charitable Trust No. 2/314, Swami Nagar, 2^{nd} Street, Mudichur, Chennai-600048, Kancheepuram District",29,"3 years
registration",Atheeswarar Charitable Trust No. 2/314,Kanchipuram,India,Tamil Nadu,,,,, Chennai-600048, Kancheepuram District,,,
338,379/DSW/2011,"The Megha Foundation – Saranalaya Children Home, 4/129, Kelma Nagar, 83 Thandalam Mangadu (via), Chennai-600122, Kancheepuram District",43,"3 years
registration",The Megha Foundation – Saranalaya Children Home,Kanchipuram,India,Tamil Nadu,,,,, Chennai-600122, Kancheepuram District,,,
339,380/DSW/2011,"Sivananda Sisu Rakshaka Mandir, Kattankulathur, Kancheepuram District - 603203",100,"3 years
registration",Sivananda Sisu Rakshaka Mandir,Kanchipuram,India,Tamil Nadu,,,,,,,,,
340,381/DSW/2011,"Blessing Rock Education and Development Trust – Mariella Children’s Home, Vayalur & Post, Via Kalpakkam, Kancheepuram District – 603102",57,"3 years
registration",Blessing Rock Education and Development Trust – Mariella Children’s Home,Kanchipuram,India,Tamil Nadu,,,,,,,,,
341,382/DSW/2011,"Brotherhood Mission, No.4/364 E, 1^{st} Cross Street, Anna Salai, Palavakkam, Chennai-600041, Kancheepuram District",77,"3 years
registration",Brotherhood Mission,Kanchipuram,India,Tamil Nadu,,,,, Palavakkam, Chennai-600041, Kancheepuram District,,
342,383/DSW/2011,"Hand in Hand TamilNadu – Poongavanam Residential Bridge School, Sirukaveripakkam Village, Kilambi Road, Kancheepuram District – 631501",103,"3 years
registration",Hand in Hand TamilNadu – Poongavanam Residential Bridge School,Kanchipuram,India,Tamil Nadu,,,,,,,,,
261,677/DSW/2012,"Christian New Life Children’s home, II, Eastaff St. Nagercoil – 629001, Kanyakumari District",32,"3 years
registration",Christian New Life Children’s home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
262,678/DSW/2012,"Uyirvazhvu Nilayam (poor Girls Students Home), 10-21A, Kamaraj Nagar, Padanthalummodu (post) Kanyakumari District",14,"3 years
registration",Uyirvazhvu Nilayam (poor Girls Students Home),Kanniyakumari,India,Tamil Nadu,,,,,,,,,
263,679/DSW/2012,"St.Vincent De Paul Home for Children, Chellamkonam, Kappiyara Post, Kanyakumari District – 629156",50,"3 years
registration",St.Vincent De Paul Home for Children,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
264,680/DSW/2012,"Deepthi Childrens Home, Kaliyal Post, Kanyakumari District – 629101",19,"3 years
registration",Deepthi Childrens Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
265,681/DSW/2012,"Sacred Heart Home for Children, Murasancode, Neyyoor P.O., 629 802, Kanyakumari District.",21,"3 years
registration",Sacred Heart Home for Children,Kanniyakumari,India,Tamil Nadu,,,,, Kanyakumari District.,,,,
266,682/DSW/2012,"Athencottasan Muthamizh Kazhagam (AMK) – Children’s Home, No.7-46B, Naduvoorkarai Road, Mondaikad Post – 629252, Kanyakumari District.",25,"3 years
registration",Athencottasan Muthamizh Kazhagam (AMK) – Children’s Home,Kanniyakumari,India,Tamil Nadu,,,,, Kanyakumari District.,,,,
267,683/DSW/2012,"Nagercoil Puthiya Yerusalem Ashram, 3-248/A, South Channel Karai, Ananthan Nagar, Asripallam post, Nagercoil – 629 001, Kanyakumari District",10,"3 years
registration",Nagercoil Puthiya Yerusalem Ashram,Kanniyakumari,India,Tamil Nadu,,,,, Asripallam post, Nagercoil – 629 001, Kanyakumari District,,
268,684/DSW/2012,"St. Francis Xavier’s Home for Children, Enayam Puthenthurai – 629193, Kanyakumari District",54,"3 years
registration",St. Francis Xavier’s Home for Children,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
269,685/DSW/2012,"Full Gospel Pentecostal Church – Samuel Boys Home, Ariyekuzhi, Mulankuzhi (post) – 629162 Kanyakumari District",18,"3 years
registration",Full Gospel Pentecostal Church – Samuel Boys Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
270,686/DSW/2012,"Assisi Farm and Training Centre Kothalampallam, Palkulam (post), Kanyakumari District – 629851",22,"3 years
registration",Assisi Farm and Training Centre Kothalampallam,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
271,696/DSW/2012,"Kanyakumari District Children Welfare Trust – Bishop Leon Boys Home, Gandhi Nagar, Vellamadam – 629 305, Kanyakumari District.",36,"3 years
registration",Kanyakumari District Children Welfare Trust – Bishop Leon Boys Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
272,710/DSW/2012,"St. Joseph’s Social Welfare Centre, (St.Joseph Children’s Home) Vellamdam – 629305, Kanyakumari District",76,"3 years
registration",St. Joseph’s Social Welfare Centre,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
273,458/DSW/2011,"Saint Boniface Anbaham, Old No. 1/44-G / New No. 1/38, Anbaham, Zionpuram, Monikettipottal Post, Kanyakumari District – 629 501.",131,"3 years
registration",Saint Boniface Anbaham,Kanniyakumari,India,Tamil Nadu,,,,, Monikettipottal Post, Kanyakumari District – 629 501.,,,
274,459/DSW/2011,"CMS Girls Home, Mela Ramanputhur, Nagarcoil – 629 004, Kanyakumari District",139,"3 years
registration",CMS Girls Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
275,596/DSW/2011,"AIM for Seva Students Home for Boys, Paramanvizhai, Nagerkoil, Kanyakumari District",19,"3 years
registration",AIM for Seva Students Home for Boys,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
276,597/DSW/2011,"Happy Children’s Home- Boys’ Home, 27/A 20B Nadukattu, Esakiammankoil Road, Nagarcoil- 629 001.",25,"3 years
regisration",Happy Children’s Home- Boys’ Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
277,598/DSW/2011,"Happy Children’s Home (Girls), 101 B/3, Kurugulam Road, Anathan Nagar, Asaripallam (po), Kanyakumari District – 629002",16,"3 years
registration",Happy Children’s Home (Girls),Kanniyakumari,India,Tamil Nadu,,,,, Asaripallam (po), Kanyakumari District – 629002,,,
278,599/DSW/2011,"Bethany Navajeevan Trust – St. Antony’s Home, Bethany Nagar, Vencode – 629171, Puthukkadai, Kanyakumari District",23,"3 years
registration",Bethany Navajeevan Trust – St. Antony’s Home,Kanniyakumari,India,Tamil Nadu,,,,, Kanyakumari District,,,,
279,600/DSW/2011,"Good Samaritan Fellowship of India, 41/18 Asambu Road, Vadasery, Nagercoil-1, Kanyakumari District .",22,"3 years
registration",Good Samaritan Fellowship of India,Kanniyakumari,India,Tamil Nadu,,,,, Kanyakumari District .,,,,
280,601/DSW/2011,"The Salvation Army – Tucker Boys Home, Vettoornimadam & Post, Nagerkoil, Kanyakumari District – 629 003",50,"3 years
registration",The Salvation Army – Tucker Boys Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
281,602/DSW/2011,"Hindustan Bible Institute, India – Emmanuel Children’s Home, Near Manali Junction, Thuckalay (po), Kanyakumari District – 629175",33,"3 years
registration",Hindustan Bible Institute,Kanniyakumari,India,Tamil Nadu,,,,, Kanyakumari District – 629175,,,,
282,603/DSW/2011,"The Salvation Army – Girls Home, Mettukadai, Thuckalay & post, Kanyakumari District – 629 175.",18,"3 years
registration",The Salvation Army – Girls Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
283,604/DSW/2011,"Niras Children’s Home, 11-30, Paruthivillai, Near Asaripallam, A.N. Kudy, Post 629 201, Nagarcoil, Kanyakumari District",24,"3 years
registration",Niras Children’s Home,Kanniyakumari,India,Tamil Nadu,,,,, A.N. Kudy, Post 629 201, Nagarcoil, Kanyakumari District,
284,203/DSW/2010,"Sri Kanyakumari GurukulamChildren’sHome, Paramarthalingapuram, Mahadanapuram S.P.O., Kanayakumari District – 629 702.",20,"3 years
registration",Sri Kanyakumari GurukulamChildren’sHome,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
285,204/DSW/2010,"Matrix Charity – Matrix Illam, Themanoor, Attor, Thiruvattar Post, Kanayakumari District – 629 177.",25,"3 years
registration",Matrix Charity – Matrix Illam,Kanniyakumari,India,Tamil Nadu,,,,, Kanayakumari District – 629 177.,,,,
286,295/DSW/2010,"Dorkal Sisters Serving Trust – Dorkal Children’s Home, 15/85, Chadiyankal, Kuzhicode Post, Kanyakumari District – 629 167",20,"3 years
registration",Dorkal Sisters Serving Trust – Dorkal Children’s Home,Kanniyakumari,India,Tamil Nadu,,,,, Kanyakumari District – 629 167,,,,
287,296/DSW/2010,"CMS Boys Home, 19,Holy Cross College Road, Punnai Nagar, Nagercoil 629 004, Kanyakumari District.",105,"3 years
registration",CMS Boys Home,Kanniyakumari,India,Tamil Nadu,,,,, Nagercoil 629 004, Kanyakumari District.,,,
288,340/DSW/2011,"St. Joseph’s Carmel Home for Children, Neerody, Kollemcode Post Kanyakumari District –629 160",25,"3 years
registration",St. Joseph’s Carmel Home for Children,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
289,341/DSW/2011,"Chiriyapushpam Mather Sangam-St. Theresa’s Home for Children, Manalikarai-629 164, Kanyakumari District.",63,"3 years
registration",Chiriyapushpam Mather Sangam-St. Theresa’s Home for Children,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
290,373/DSW/2011,"CMS Children’s Home, Puthenkadai, Thiruvattar Post, Kanyakumari District",323,"3 years
registration",CMS Children’s Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
291,413/DSW/2011,"C.M.S. – Children’s Home, Thadikarankonam, Kanyakumari District.",307,"3 years
registration",C.M.S. – Children’s Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
292,454/DSW/2011,"Vimala Balabhavan for Girls, Marthandam North Street-629165, Kanyakumari District.",90,"3 years
registration",Vimala Balabhavan for Girls,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
293,455/DSW/2011,"Dejaswee-Mangayar Mangalam, 442, Kavimani Nagar, Kottar Post, Nagercoil, Kanyakumari District.",10,"3 years
registration",Dejaswee-Mangayar Mangalam,Kanniyakumari,India,Tamil Nadu,,,,, Nagercoil, Kanyakumari District.,,,
294,456/DSW/2011,"Peoples Bible Ministries – Peoples Baptist Children’s Home, Thekkukarai, Irenipuram Post, Kanyakumari District – 629197.",45,"3 years
registration",Peoples Bible Ministries – Peoples Baptist Children’s Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
295,457/DSW/2011,"Stephen Charitable Trust – St. Mary’s Girls Home, Door No.7/602, Muttom – 629 202, Kanyakumari District.",57,"3 years
registration",Stephen Charitable Trust – St. Mary’s Girls Home,Kanniyakumari,India,Tamil Nadu,,,,,,,,,
259,300/DSW/2010,"Happy Home Trust No.58, Angu Nagar, Rajappuram Road, Aravakurichi Post, Karur District Pincode-639201",27,"3 years
registration",Happy Home Trust No.58,Karur,India,Tamil Nadu,,,,, Karur District Pincode-639201,,,,
260,520/DSW/2011,"Karur Anbukarangal Society, 28, Ganesh Nagar, Vennaimalai, Karur – 639006.",71,"3 years
registration",Karur Anbukarangal Society,Karur,India,Tamil Nadu,,,,, Karur – 639006.,,,,
235,539/DSW/2011,"Om Sri Vinayaka Welfare Organization, No.12, Nanjappanagar NGGO,s Colony Baglur Road, Hosur- 635 109, Krishnagiri District",83,"3 years
registration",Om Sri Vinayaka Welfare Organization,Krishnagiri,India,Tamil Nadu,,,,, Hosur- 635 109, Krishnagiri District,,,
236,572/DSW/2011,"Narendra Nambikkai Natchathiram, A-3, Thally Hudco, Hosur – 635109, Krishnagiri District.",25,"3 years
registraion",Narendra Nambikkai Natchathiram,Krishnagiri,India,Tamil Nadu,,,,, Krishnagiri District.,,,,
237,573/DSW/2011,"Bethel Educational Social Service Organisation (BESSO), 3/75-5, Laxminarasimma Nagar, Denkanikotta Road, Dinnur Hosur – 635 109 Krishnagiri District",89,"3 years
registration",Bethel Educational Social Service Organisation (BESSO),Krishnagiri,India,Tamil Nadu,,,,, Dinnur Hosur – 635 109 Krishnagiri District,,,,
238,697/DSW/2012,"Sri Ramakrishna Seva Ashrama, 130 Titan Township Road, Mathigiri, Hosur, Krishnagiri District – 635110",61,"3 years
registration",Sri Ramakrishna Seva Ashrama,Krishnagiri,India,Tamil Nadu,,,,, Krishnagiri District – 635110,,,,
239,407/DSW/2011,"Srima Saradha Krupa Samithi – Sri Saradha Nikethan, No.70 “Ganga Madhav”, Mathigiri, Hosur – 635110, Krishnagiri District",40,"3 years
registration",Srima Saradha Krupa Samithi – Sri Saradha Nikethan,Krishnagiri,India,Tamil Nadu,,,,, Krishnagiri District,,,,
240,408/DSW/2011,"Redag Association, 1/87, Jawalagiri Road, Athalvadi Village, Thally – 635118, Denkanikota Taluk, Krishnagiri District.",23,"3 years
registration",Redag Association,Krishnagiri,India,Tamil Nadu,,,,, Thally – 635118, Denkanikota Taluk, Krishnagiri District.,,
241,409/DSW/2011,"Jeevan Jyothi Boys Hostel, (A Project of Indian Evangelical Mission), 1^{st} B, 3^{rd} Cross, Power house Colony, Krishnagiri – 635001",37,"3 years
registration",Jeevan Jyothi Boys Hostel,Krishnagiri,India,Tamil Nadu,,,,, Power house Colony, Krishnagiri – 635001,,,
242,410/DSW/2011,"Elayasandiram Swad Society – Anbu Children’s Home, D.No.1/594 Sathanur Road, Madhakondapalli – 635114, Denkanikota Taluk, Krishnagiri District",22,"3 years
registration",Elayasandiram Swad Society – Anbu Children’s Home,Krishnagiri,India,Tamil Nadu,,,,, Krishnagiri District,,,,
243,468/DSW/2011,"Moriah Foundation – Moriah Orphanage, 34, 3^{rd} Jakkappan Nagar, Krishnagiri District – 635 001",27,"3 years
registration",Moriah Foundation – Moriah Orphanage,Krishnagiri,India,Tamil Nadu,,,,,,,,,
244,469/DSW/2011,"Tamil Nadu Vincentian Charitable Society-St. Vincent’s Home for Children, Adaikalapuram, Bennangur post, Denkanikottai - 635 107, Krishnagiri District",85,"3 years
registration",Tamil Nadu Vincentian Charitable Society-St. Vincent’s Home for Children,Krishnagiri,India,Tamil Nadu,,,,, Krishnagiri District,,,,
245,470/DSW/2011,"Children’s Home for Anantha Ashram, HCF Post, Mathigiri, Hosur, Krishnagiri District – 635110",35,"3 years
registration",Children’s Home for Anantha Ashram,Krishnagiri,India,Tamil Nadu,,,,, Krishnagiri District – 635110,,,,
246,471/DSW/2011,"Sri Kamala Nehra Atharavatra Manava-manaviyar Kappagam, 41-A, Krishna Kovil Sannathi Street, Krishnagiri – 635001",33,"3 years
registration",Sri Kamala Nehra Atharavatra Manava-manaviyar Kappagam,Krishnagiri,India,Tamil Nadu,,,,,,,,,
247,472/DSW/2011,"Navjeevan Seva Mandal- Narkani Tribal Girls Home, V. Madepalli - 635 121, Krishnagiri Taluk & District",49,"3 years
registration",Navjeevan Seva Mandal- Narkani Tribal Girls Home,Krishnagiri,India,Tamil Nadu,,,,,,,,,
248,473/DSW/2011,"Rural Association for Integrated Development (RAID) – Prasanth Siruvar Illam, 1/1-B, Raja City, Thotagiri Village, Avalapalli Post, Hosur- 635109, Krishnagiri District",30,"3 years
registration",Rural Association for Integrated Development (RAID) – Prasanth Siruvar Illam,Krishnagiri,India,Tamil Nadu,,,,, Avalapalli Post, Hosur- 635109, Krishnagiri District,,
249,132/DSW/2010,"Home of Hope Calvary Chapel Nachikuppam Veppanapalli (via), Krishnagiri Taluk & District – 635 121",58,"3 years
registration",Home of Hope Calvary Chapel Nachikuppam Veppanapalli (via),Krishnagiri,India,Tamil Nadu,,,,,,,,,
250,198/DSW/2010,"Grace Home Charitable Foundation Gandhi nagar, Haleseebam village & Post, Hosur Taluk, Krishnagiri District – 635 109",25,"3 years
registration",Grace Home Charitable Foundation Gandhi nagar,Krishnagiri,India,Tamil Nadu,,,,,,,,,
251,264/DSW/2010,"Sri Niveditha Seva Trust, Narasamma Colony, Opp. to Temorary Bus Stand, NH7, Krishnagiri Road, Hosur, Krishnagiri District-635109",25,"3 years
registration",Sri Niveditha Seva Trust,Krishnagiri,India,Tamil Nadu,,,,, Krishnagiri Road, Hosur, Krishnagiri District-635109,,
252,265/DSW/2010,"Annai Kasthuribai Gandhi Boys and Girls Home, 7/4 South Mada Street, krishnagiri District – 635 001",72,"3 years
registration",Annai Kasthuribai Gandhi Boys and Girls Home,Krishnagiri,India,Tamil Nadu,,,,,,,,,
253,275/DSW/2010,"Open Arms Children’s Home, 5/328, Hermon gardens Innappasandra, Nallur Post, Hosur-635109, Krishnagiri District",80,"3 years
registration",Open Arms Children’s Home,Krishnagiri,India,Tamil Nadu,,,,, Hosur-635109, Krishnagiri District,,,
254,336/DSW/2010,"Tamil Nadu Vincentain Charitable Society – St. Vincent’s Boy’s Home, Denkanikkotta Post, Krishnagiri District 635 107.",48,"3 years
registration",Tamil Nadu Vincentain Charitable Society – St. Vincent’s Boy’s Home,Krishnagiri,India,Tamil Nadu,,,,,,,,,
255,362/DSW/2011,"The Congregation of the Sisters of St. Joseph of Cluny - Anne Marie’s Home for girls, Cluny Convent, Adaikalapuram, Bennangur Post, Denkanikkotta Taluk, Krishnagiri District – 635 107",69,"3 years
registration",The Congregation of the Sisters of St. Joseph of Cluny - Anne Marie’s Home for girls,Krishnagiri,India,Tamil Nadu,,,,, Denkanikkotta Taluk, Krishnagiri District – 635 107,,,
256,363/DSW/2011,"The Indian Gypsy Works Fellowship Trust – Children Home ‘T’, Kamaraj Nagar, Rayakottai Road, Krishnagiri – 635 001",36,"3 years
registration",The Indian Gypsy Works Fellowship Trust – Children Home ‘T’,Krishnagiri,India,Tamil Nadu,,,,,,,,,
257,364/DSW/2011,"Way to Life Charitable Trust – Way to Life Children Home, Stop-I Campus, Thimmasandram Road, Denkanikottai Krishnagiri District – 635 107",31,"3 years
registration",Way to Life Charitable Trust – Way to Life Children Home,Krishnagiri,India,Tamil Nadu,,,,,,,,,
258,406/DSW/2011,"Good Life Trust – Good Life Children’s Home, Plot No.196, Kasuvagatta Village, MGR College Post, Near Bathalapalli, Hosur – 635109, Krishnagiri District",33,"3 years
registration",Good Life Trust – Good Life Children’s Home,Krishnagiri,India,Tamil Nadu,,,,, Near Bathalapalli, Hosur – 635109, Krishnagiri District,,
217,580/DSW/2011,"Nanban, 12,13, East Street, Madhichiyam, Madurai – 625 020",20,"3 years
registration",Nanban,Madurai,India,Tamil Nadu,,,,, Madhichiyam, Madurai – 625 020,,,
218,617/DSW/2011,"Vocational Training and Rehabilitation Infants Home, 13/14, Narayana Pillai Street, Chandrakanthi Nagar, Ponmeni, Madurai-10",53,"3 years
registration",Vocational Training and Rehabilitation Infants Home,Madurai,India,Tamil Nadu,,,,, Ponmeni, Madurai-10,,,
219,618/DSW/2011,"People’s Development Association – “Enga Veedu” Children’s Home, 16, S.F.Nagar, Bhuvaneswari Colony, Elamanur Post, Madurai North Taluk, Madurai District -625 201",22,"3 years
registration",People’s Development Association – “Enga Veedu” Children’s Home,Madurai,India,Tamil Nadu,,,,, Elamanur Post, Madurai North Taluk, Madurai District -625 201,,
220,649/DSW/2012,"Amutha Akashya Trust, R.S.No.60/1 & 80/2B, M.A.V.M.M. Polytechnic College Bus stop, Alagarkoil Main Road, Valayapatti Village, Melur Taluk, Madurai District-625 001.",24,"3 years
registration",Amutha Akashya Trust,Madurai,India,Tamil Nadu,,,,, Valayapatti Village, Melur Taluk, Madurai District-625 001.,,
221,693/DSW/2012,"Annai Neomi Anbu Illam “Masha Trust”, R.C.Street, Samayanallur, (post) Madurai – 625 402",37,"3 years
registration",Annai Neomi Anbu Illam “Masha Trust”,Madurai,India,Tamil Nadu,,,,,,,,,
222,715/DSW/2012,"Sandhana Home for Destitute Seniors and Children, (run by Angel Home of Women’s Trust), Green cross Sevai maiyam, Sholavandan Main Road, Thenoor Post, Via Samayanallur, Madurai – 625 402.",25,"3 years
registration",Sandhana Home for Destitute Seniors and Children,Madurai,India,Tamil Nadu,,,,, Thenoor Post, Via Samayanallur, Madurai – 625 402.,,
223,38/DSW/2010,"Christian Mission Service Children Home T. Kallupatti, Madurai District.",237,"3 years
registration",Christian Mission Service Children Home T. Kallupatti,Madurai,India,Tamil Nadu,,,,,,,,,
224,301/DSW/2010,"Grace Kennet Foundation, 8, Kennett Road, Madurai – 625 016",30,"3 years
registration",Grace Kennet Foundation,Madurai,India,Tamil Nadu,,,,,,,,,
225,474/DSW/2011,"Boys Town Society – Inner Wheel Girls Town, Karisilpatti Village, Tirumangalam-625706, Madurai District",70,"3 years
registration",Boys Town Society – Inner Wheel Girls Town,Madurai,India,Tamil Nadu,,,,,,,,,
226,475/DSW/2011,"Boys Town Society - Rengasamy Children’s Village, Katrampatti, Tirumangalam – 625 706, Madurai District",70,"3 years
registration",Boys Town Society - Rengasamy Children’s Village,Madurai,India,Tamil Nadu,,,,,,,,,
